asset_id,asset_name,display_name,asset_type,domain_id,description,business_definition,data_steward,business_owner
BDO-CUST-001,Customer,Customer,Business Data Object,DOM-BUSINESS-001,Customer information including identification and location details,A customer is an organization or individual that purchases or uses our products and services,Data Steward Team,Sales Department
BDO-CUST-002,Customer Identifier,Customer ID,Business Attribute,DOM-BUSINESS-001,Unique identifier for each customer,The unique code assigned to identify each customer in our system,Data Steward Team,Sales Department
BDO-CUST-003,Customer Name,Customer Name,Business Attribute,DOM-BUSINESS-001,Legal name of the customer,The official registered name of the customer organization or individual,Data Steward Team,Sales Department
BDO-CUST-004,Customer Country,Country,Business Attribute,DOM-BUSINESS-001,Country where the customer is located,The country in which the customer's primary business location is registered,Data Steward Team,Sales Department
BDO-MACH-001,Machine,Machine,Business Data Object,DOM-BUSINESS-002,Manufacturing equipment and machinery information,A machine is a piece of manufacturing equipment owned by a customer and tracked in our system,Data Steward Team,Operations Department
BDO-MACH-002,Machine Identifier,Machine Number,Business Attribute,DOM-BUSINESS-002,Unique identifier for each machine,The unique serial number assigned to identify each machine unit,Data Steward Team,Operations Department
BDO-MACH-003,Machine Owner,Customer,Business Attribute,DOM-BUSINESS-002,Customer who owns the machine,The customer organization that owns and operates the machine,Data Steward Team,Operations Department
BDO-MACH-004,Machine Category,Machine Type,Business Attribute,DOM-BUSINESS-002,Category or type of the machine,The classification of the machine based on its technology and capabilities (AT/NXT/NXE),Data Steward Team,Operations Department
BDO-MACH-005,Machine Model,Model,Business Attribute,DOM-BUSINESS-002,Specific model designation of the machine,The manufacturer's model number identifying the specific machine configuration,Data Steward Team,Operations Department
BDO-LOC-001,Location,Location,Business Data Object,DOM-BUSINESS-003,Geographic location or site information,A location represents a physical site where a customer operates and where machines may be installed,Data Steward Team,Operations Department
BDO-LOC-002,Location Identifier,Location ID,Business Attribute,DOM-BUSINESS-003,Unique identifier for each location,The unique code assigned to identify each physical location or site,Data Steward Team,Operations Department
BDO-LOC-003,Location Customer,Customer ID,Business Attribute,DOM-BUSINESS-003,Customer associated with the location,The customer who operates or owns the location,Data Steward Team,Operations Department
BDO-LOC-004,Location Name,Site Name,Business Attribute,DOM-BUSINESS-003,Name of the site or location,The business name or designation of the physical location,Data Steward Team,Operations Department
BDO-LOC-005,Location City,City,Business Attribute,DOM-BUSINESS-003,City where the location is situated,The city in which the physical site is located,Data Steward Team,Operations Department
BDO-LOC-006,Location Country,Country,Business Attribute,DOM-BUSINESS-003,Country where the location is situated,The country in which the physical site is located,Data Steward Team,Operations Department
BDO-LOC-007,Location Latitude,Latitude,Business Attribute,DOM-BUSINESS-003,Geographic latitude coordinate,The latitude coordinate for precise geographic positioning of the site,Data Steward Team,Operations Department
